id,model_id,brand,model_name,ram_gb,storage_gb,variant_name,launch_price,launch_price_source,color_limited,is_active,created_at,updated_at
97,50,魅族,魅族 22,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.591686,2026-09-02 15:03:17.591686
98,51,魅族,魅族 Note 16 Pro,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.592700,2026-09-02 15:03:17.592700
99,51,魅族,魅族 Note 16 Pro,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.592700,2026-09-02 15:03:17.592700
100,52,魅族,魅族 Note 16,8,128,8GB+128,,,False,True,2026-09-02 15:03:17.593697,2026-09-02 15:03:17.593697
101,52,魅族,魅族 Note 16,8,256,8GB+256,,,False,True,2026-09-02 15:03:17.593697,2026-09-02 15:03:17.593697
102,52,魅族,魅族 Note 16,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.593697,2026-09-02 15:03:17.593697
103,53,魅族,魅族 Lucky 08,8,256,8GB+256,,,False,True,2026-09-02 15:03:17.594697,2026-09-02 15:03:17.594697
104,54,魅族,魅族 21 Note,16,256,16GB+256,,,False,True,2026-09-02 15:03:17.595697,2026-09-02 15:03:17.595697
105,54,魅族,魅族 21 Note,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.595697,2026-09-02 15:03:17.595697
106,55,荣耀,荣耀600 Pro,12,512,12GB+512GB,,https://www.honor.com/cn/shop/product/10086897898403.html,False,True,2026-09-02 15:21:41.314468,2026-09-02 15:21:41.314468
107,56,荣耀,荣耀Magic8 Pro,12,512,12GB+512GB,5999.00,https://www.honor.com/cn/shop/product/10086048644581.html,False,True,2026-09-02 15:21:41.315810,2026-09-02 15:21:41.315810
108,56,荣耀,荣耀Magic8 Pro,16,512,16GB+512GB,,https://www.honor.com/cn/shop/product/10086048644581.html,False,True,2026-09-02 15:21:41.316466,2026-09-02 15:21:41.316466
109,56,荣耀,荣耀Magic8 Pro,16,1024,16GB+1024GB,,https://www.honor.com/cn/shop/product/10086048644581.html,False,True,2026-09-02 15:21:41.317598,2026-09-02 15:21:41.317598
110,57,一加,一加 13,12,256,12GB+256GB,,https://www.oneplus.com/cn/13/specs,False,True,2026-09-02 15:21:41.318240,2026-09-02 15:21:41.318240
111,57,一加,一加 13,12,512,12GB+512GB,,https://www.oneplus.com/cn/13/specs,False,True,2026-09-02 15:21:41.319415,2026-09-02 15:21:41.319415
112,57,一加,一加 13,16,512,16GB+512GB,,https://www.oneplus.com/cn/13/specs,False,True,2026-09-02 15:21:41.320031,2026-09-02 15:21:41.320031
113,57,一加,一加 13,24,1024,24GB+1024GB,,https://www.oneplus.com/cn/13/specs,False,True,2026-09-02 15:21:41.320665,2026-09-02 15:21:41.320665
114,58,一加,一加 Ace 6,12,256,12GB+256GB,,https://www.oneplus.com/cn/ace-6/specs,False,True,2026-09-02 15:21:41.321315,2026-09-02 15:21:41.321315
115,58,一加,一加 Ace 6,12,512,12GB+512GB,,https://www.oneplus.com/cn/ace-6/specs,False,True,2026-09-02 15:21:41.321944,2026-09-02 15:21:41.321944
116,58,一加,一加 Ace 6,16,256,16GB+256GB,,https://www.oneplus.com/cn/ace-6/specs,False,True,2026-09-02 15:21:41.322570,2026-09-02 15:21:41.322570
117,58,一加,一加 Ace 6,16,512,16GB+512GB,,https://www.oneplus.com/cn/ace-6/specs,False,True,2026-09-02 15:21:41.323202,2026-09-02 15:21:41.323202
118,58,一加,一加 Ace 6,16,1024,16GB+1024GB,,https://www.oneplus.com/cn/ace-6/specs,False,True,2026-09-02 15:21:41.323844,2026-09-02 15:21:41.323844
119,59,一加,一加 Ace 5,12,256,12GB+256GB,,https://www.oneplus.com/cn/ace-5/specs,False,True,2026-09-02 15:21:41.325513,2026-09-02 15:21:41.325513
120,59,一加,一加 Ace 5,12,512,12GB+512GB,,https://www.oneplus.com/cn/ace-5/specs,False,True,2026-09-02 15:21:41.326161,2026-09-02 15:21:41.326161
121,59,一加,一加 Ace 5,16,256,16GB+256GB,,https://www.oneplus.com/cn/ace-5/specs,False,True,2026-09-02 15:21:41.326716,2026-09-02 15:21:41.326716
122,59,一加,一加 Ace 5,16,512,16GB+512GB,,https://www.oneplus.com/cn/ace-5/specs,False,True,2026-09-02 15:21:41.327311,2026-09-02 15:21:41.327311
123,59,一加,一加 Ace 5,16,1024,16GB+1024GB,,https://www.oneplus.com/cn/ace-5/specs,False,True,2026-09-02 15:21:41.327942,2026-09-02 15:21:41.327942
124,4,vivo,vivo X200 Pro,12,256,12GB+256,5299.00,https://www.vivo.com.cn/vivo/param/x200pro,False,True,2026-09-02 15:27:40.720981,2026-09-02 15:27:40.720981
125,4,vivo,vivo X200 Pro,16,1024,16GB+1TB,,,False,True,2026-09-02 15:27:40.720981,2026-09-02 15:27:40.720981
126,1,华为,HUAWEI Mate 70,,256,256,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
127,1,华为,HUAWEI Mate 70,,512,512,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
128,1,华为,HUAWEI Mate 70,,1024,1TB,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
129,13,华为,HUAWEI Mate 70 Pro,,256,256,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
130,13,华为,HUAWEI Mate 70 Pro,,512,512,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
131,13,华为,HUAWEI Mate 70 Pro,,1024,1TB,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
132,14,华为,HUAWEI Pura 80 Ultra,,512,512,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
133,14,华为,HUAWEI Pura 80 Ultra,,1024,1TB,,,False,True,2026-09-03 09:12:16.340097,2026-09-03 09:12:16.340097
134,10,华为,HUAWEI Pura 90 Pro Max,,256,256,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
135,10,华为,HUAWEI Pura 90 Pro Max,,512,512,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
136,10,华为,HUAWEI Pura 90 Pro Max,,1024,1TB,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
137,36,realme,真我GT8 Pro,12,256,12GB+256,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
138,36,realme,真我GT8 Pro,12,512,12GB+512,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
139,36,realme,真我GT8 Pro,16,256,16GB+256,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
140,36,realme,真我GT8 Pro,16,512,16GB+512,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
141,36,realme,真我GT8 Pro,16,1024,16GB+1TB,,,False,True,2026-09-03 09:19:38.879288,2026-09-03 09:19:38.879288
142,37,realme,真我GT8,12,256,12GB+256,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
143,37,realme,真我GT8,12,512,12GB+512,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
144,37,realme,真我GT8,16,256,16GB+256,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
145,37,realme,真我GT8,16,512,16GB+512,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
146,37,realme,真我GT8,16,1024,16GB+1TB,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
147,40,realme,真我Neo8,12,256,12GB+256,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
148,40,realme,真我Neo8,16,256,16GB+256,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
149,40,realme,真我Neo8,12,512,12GB+512,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
150,40,realme,真我Neo8,16,512,16GB+512,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
151,40,realme,真我Neo8,16,1024,16GB+1TB,,,False,True,2026-09-03 09:20:28.403661,2026-09-03 09:20:28.403661
152,11,华为,HUAWEI Pura X Max,12,256,12GB+256,,,False,True,2026-09-03 09:23:41.695934,2026-09-03 09:23:41.695934
153,11,华为,HUAWEI Pura X Max,12,512,12GB+512,,,False,True,2026-09-03 09:23:41.695934,2026-09-03 09:23:41.695934
154,11,华为,HUAWEI Pura X Max,16,512,16GB+512,,,False,True,2026-09-03 09:23:41.695934,2026-09-03 09:23:41.695934
155,11,华为,HUAWEI Pura X Max,16,1024,16GB+1TB,,,False,True,2026-09-03 09:23:41.695934,2026-09-03 09:23:41.695934
156,44,三星,Samsung Galaxy S26 Ultra,12,256,12GB+256,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
157,44,三星,Samsung Galaxy S26 Ultra,12,512,12GB+512,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
158,44,三星,Samsung Galaxy S26 Ultra,16,1024,16GB+1TB,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
159,45,三星,Samsung Galaxy S26,12,256,12GB+256,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
160,45,三星,Samsung Galaxy S26,12,512,12GB+512,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
161,45,三星,Samsung Galaxy S26,16,1024,16GB+1TB,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
162,46,三星,Samsung Galaxy Z Fold8,12,256,12GB+256,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
163,46,三星,Samsung Galaxy Z Fold8,12,512,12GB+512,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
164,46,三星,Samsung Galaxy Z Fold8,16,1024,16GB+1TB,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
165,47,三星,Samsung Galaxy Z Flip8,12,256,12GB+256,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
166,47,三星,Samsung Galaxy Z Flip8,12,512,12GB+512,,,False,True,2026-09-03 09:25:02.671230,2026-09-03 09:25:02.671230
167,42,realme,真我15 Pro,16,512,16GB+512,,,False,True,2026-09-03 10:24:37.329559,2026-09-03 10:24:37.329559
168,60,Apple,iPhone 18 Pro,,256,256,,,False,True,2026-09-13 15:44:09.591729,2026-09-13 15:44:09.591729
169,60,Apple,iPhone 18 Pro,,512,512,,,False,True,2026-09-13 15:44:09.591729,2026-09-13 15:44:09.591729
170,60,Apple,iPhone 18 Pro,,1024,1TB,,,False,True,2026-09-13 15:44:09.591729,2026-09-13 15:44:09.591729
171,60,Apple,iPhone 18 Pro,,2048,2TB,,,False,True,2026-09-13 15:44:09.591729,2026-09-13 15:44:09.591729
172,61,Apple,iPhone Duo,,256,256,,,False,True,2026-09-13 15:44:09.594060,2026-09-13 15:44:09.594060
173,61,Apple,iPhone Duo,,512,512,,,False,True,2026-09-13 15:44:09.594060,2026-09-13 15:44:09.594060
174,61,Apple,iPhone Duo,,1024,1TB,,,False,True,2026-09-13 15:44:09.594060,2026-09-13 15:44:09.594060
175,62,华为,HUAWEI Mate 70 Pro+,,512,512,,,False,True,2026-09-13 15:44:09.595071,2026-09-13 15:44:09.595071
176,62,华为,HUAWEI Mate 70 Pro+,,1024,1TB,,,False,True,2026-09-13 15:44:09.595071,2026-09-13 15:44:09.595071
177,63,华为,HUAWEI Mate 70 RS 非凡大师,,512,512,,,False,True,2026-09-13 15:44:09.597076,2026-09-13 15:44:09.597076
178,63,华为,HUAWEI Mate 70 RS 非凡大师,,1024,1TB,,,False,True,2026-09-13 15:44:09.597076,2026-09-13 15:44:09.597076
179,64,华为,HUAWEI Mate X6,12,256,12GB+256,,,False,True,2026-09-13 15:44:09.599590,2026-09-13 15:44:09.599590
180,64,华为,HUAWEI Mate X6,12,512,12GB+512,,,False,True,2026-09-13 15:44:09.599590,2026-09-13 15:44:09.599590
181,64,华为,HUAWEI Mate X6,16,512,16GB+512,,,False,True,2026-09-13 15:44:09.599590,2026-09-13 15:44:09.599590
182,64,华为,HUAWEI Mate X6,16,1024,16GB+1TB,,,False,True,2026-09-13 15:44:09.599590,2026-09-13 15:44:09.599590
183,65,华为,HUAWEI Mate XT 非凡大师,,256,256,,,False,True,2026-09-13 15:44:09.601597,2026-09-13 15:44:09.601597
184,65,华为,HUAWEI Mate XT 非凡大师,,512,512,,,False,True,2026-09-13 15:44:09.601597,2026-09-13 15:44:09.601597
185,65,华为,HUAWEI Mate XT 非凡大师,,1024,1TB,,,False,True,2026-09-13 15:44:09.601597,2026-09-13 15:44:09.601597
186,66,华为,HUAWEI Pura 80,,256,256,,,False,True,2026-09-13 15:44:09.602597,2026-09-13 15:44:09.602597
187,66,华为,HUAWEI Pura 80,,512,512,,,False,True,2026-09-13 15:44:09.602597,2026-09-13 15:44:09.602597
188,66,华为,HUAWEI Pura 80,,1024,1TB,,,False,True,2026-09-13 15:44:09.602597,2026-09-13 15:44:09.602597
189,67,华为,HUAWEI Pura 80 Pro,,256,256,,,False,True,2026-09-13 15:44:09.604597,2026-09-13 15:44:09.604597
