brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,store_name,external_id,sku_text,product_title,product_url,region,regular_price,public_sale_price,gov_price,billion_subsidy_price,promotion_labels,promotion_stackable,in_stock,evidence_text_path,screenshot_path,reviewer,review_status
Apple,iPhone 17 Pro Max,,2048,2TB,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017%20Pro%20Max%202TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,2TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro Max,,2048,2TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017%20Pro%20Max%202TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,2TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,256,256,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%20Air%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,256,256,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%20Air%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,256,256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%20Air%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,512,512,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%20Air%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,512,512,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%20Air%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,512,512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%20Air%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,1024,1TB,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%20Air%201TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,1TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,1024,1TB,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%20Air%201TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,1TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone Air,,1024,1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%20Air%201TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,1TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,128,128,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2017e%20128%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,128,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,128,128,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017e%20128%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,128,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,128,128,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017e%20128%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,128,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,256,256,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2017e%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,256,256,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017e%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,256,256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017e%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,512,512,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2017e%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,512,512,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017e%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17e,,512,512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017e%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,128,128,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2016%20128%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,128,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,128,128,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2016%20128%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,128,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,128,128,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2016%20128%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,128,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,256,256,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2016%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,256,256,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2016%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,256,256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2016%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,512,512,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2016%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,512,512,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2016%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 16,,512,512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2016%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,12,512,12GB+512,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
